root,guest_guess,size,mode,path
Assets/SpriteLibrary,Guest01_Lady,676x590,RGBA,Assets/SpriteLibrary/Characters/Guest01_Lady/ContactSheets/Guest01_Lady_central_panic_frames.png
Assets/SpriteLibrary,Guest01_Lady,180x290,RGBA,Assets/SpriteLibrary/Characters/Guest01_Lady/PanicFrames/ReferenceLockedOrGuestReference/Lady_guest1_reference_panic_01_startled_recoil_180x290.png
Assets/SpriteLibrary,Guest01_Lady,180x290,RGBA,Assets/SpriteLibrary/Characters/Guest01_Lady/PanicFrames/ReferenceLockedOrGuestReference/Lady_guest1_reference_panic_02_scream_hands_up_180x290.png
Assets/SpriteLibrary,Guest01_Lady,180x290,RGBA,Assets/SpriteLibrary/Characters/Guest01_Lady/PanicFrames/ReferenceLockedOrGuestReference/Lady_guest1_reference_panic_03_cover_face_180x290.png
Assets/SpriteLibrary,Guest01_Lady,180x290,RGBA,Assets/SpriteLibrary/Characters/Guest01_Lady/PanicFrames/ReferenceLockedOrGuestReference/Lady_guest1_reference_panic_04_cower_clutch_180x290.png
Assets/SpriteLibrary,Guest01_Lady,180x290,RGBA,Assets/SpriteLibrary/Characters/Guest01_Lady/PanicFrames/ReferenceLockedOrGuestReference/Lady_guest1_reference_panic_05_run_left_180x290.png
Assets/SpriteLibrary,Guest01_Lady,180x290,RGBA,Assets/SpriteLibrary/Characters/Guest01_Lady/PanicFrames/ReferenceLockedOrGuestReference/Lady_guest1_reference_panic_06_run_right_180x290.png
Assets/SpriteLibrary,Guest01_Lady,180x290,RGBA,Assets/SpriteLibrary/Characters/Guest01_Lady/PanicFrames/ReferenceLockedOrGuestReference/Lady_guest1_reference_panic_07_turn_back_scream_180x290.png
Assets/SpriteLibrary,Guest01_Lady,180x290,RGBA,Assets/SpriteLibrary/Characters/Guest01_Lady/PanicFrames/ReferenceLockedOrGuestReference/Lady_guest1_reference_panic_08_braced_avoid_180x290.png
Assets/SpriteLibrary,Guest02_ButlerGuest,724x678,RGBA,Assets/SpriteLibrary/Characters/Guest02_ButlerGuest/ContactSheets/ButlerGuest_reference_locked_panic_166x297_contact_sheet.png
Assets/SpriteLibrary,Guest02_ButlerGuest,676x590,RGBA,Assets/SpriteLibrary/Characters/Guest02_ButlerGuest/ContactSheets/Guest02_ButlerGuest_central_panic_frames.png
Assets/SpriteLibrary,Guest02_ButlerGuest,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest02_ButlerGuest/PanicFrames/ReferenceLockedOrGuestReference/ButlerGuest_reference_locked_panic_01_startled_recoil_166x297.png
Assets/SpriteLibrary,Guest02_ButlerGuest,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest02_ButlerGuest/PanicFrames/ReferenceLockedOrGuestReference/ButlerGuest_reference_locked_panic_02_hands_near_face_166x297.png
Assets/SpriteLibrary,Guest02_ButlerGuest,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest02_ButlerGuest/PanicFrames/ReferenceLockedOrGuestReference/ButlerGuest_reference_locked_panic_03_cover_face_cower_166x297.png
Assets/SpriteLibrary,Guest02_ButlerGuest,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest02_ButlerGuest/PanicFrames/ReferenceLockedOrGuestReference/ButlerGuest_reference_locked_panic_04_braced_defensive_166x297.png
Assets/SpriteLibrary,Guest02_ButlerGuest,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest02_ButlerGuest/PanicFrames/ReferenceLockedOrGuestReference/ButlerGuest_reference_locked_panic_05_run_left_166x297.png
Assets/SpriteLibrary,Guest02_ButlerGuest,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest02_ButlerGuest/PanicFrames/ReferenceLockedOrGuestReference/ButlerGuest_reference_locked_panic_06_run_right_166x297.png
Assets/SpriteLibrary,Guest02_ButlerGuest,166x297,RGBA,Assets/SpriteLibrary/Characters/Guest02_ButlerGuest/PanicFrames/ReferenceLockedOrGuestReference/ButlerGuest_reference_locked_panic_07_turnaround_166x297.png
