name,kind,base_types,file,scope,loc,lifecycle,public_methods,FindObject,ResourcesLoad,NewGameObject,AddComponent,RuntimeInitialize,PlayerPrefs,ExecuteAlways,StopAllCoroutines,code_ref_count,code_ref_files,script_guid,serialized_ref_count,serialized_ref_files
AnimationLibraryClipBuilder,class,,Assets/Editor/AnimationLibraryClipBuilder.cs,Editor,152,,RebuildApprovedFullBodyClips,0,0,0,0,0,0,0,0,0,,778f17e06169b371092f9cae6acab6f8,0,
AnimationLibrarySpriteImportPostprocessor,class,AssetPostprocessor,Assets/Editor/AnimationLibrarySpriteImportPostprocessor.cs,Editor,52,,,0,0,0,0,0,0,0,0,0,,c7f485e0783e815c682d6e0602c4a32b,0,
ButlerRoomScaleCalibrationWindow,class,EditorWindow,Assets/Editor/ButlerRoomScaleCalibrationWindow.cs,Editor,1037,OnEnable,Open,0,0,0,0,0,0,0,0,3,Assets/Editor/ButlerRoomScaleCalibrationWindow.cs:1 | Assets/Editor/PointClickPlayerMovementEditor.cs:1 | Assets/Editor/RoomProjectionRegressionTests.cs:1,b61ae7064cc5496c989ffedc4041fda9,0,
Chapter1GuestRoomVisibilityRegressionTests,class,,Assets/Editor/Chapter1GuestRoomVisibilityRegressionTests.cs,Test,537,,MoveGroupToDrawingRoomDoesNotHideGuestsAtDoor | MoveGroupToDrawingRoomKeepsGuestsVisibleThroughActorRoomState | Chapter2SkipStagesGuestsVisibleInDrawingRoom | ActiveChapterGuestsKeepActorRoomStateEnabled | GuestDrawingRoomMovementDoesNotReparentIntoPresentationHierarchy | WorldSpaceGuestsUseWorldSpaceDrawingRoomTargets | LiveDoorAnswerUsesStableEntranceWorldPositions | FrontDoorActionUsesArrivalControllerAnswerSpot | DrawingRoomGuestMovementUsesEditableScenePoints | EntranceCoatHangerUsesAuthoredSceneObjectForClosetInteraction | Chapter1GuestsUseAuthoredScaleAsRoomZoomBaseline | SceneGuestsPreserveAuthoredSortingInPlayMode | EntranceHallTemporarilySortsGuestsByArrivalPair | DrawingRoomGuestsAndFurnitureUsePerspectiveDepthSorting | DrawingRoomWaitingPoseKeepsGuestsThreeFiveSevenStanding,1,0,0,0,0,0,0,1,0,,817c59f5f875bcab7a87e04519e694a3,0,
Chapter2PanicAnimationLibraryBuilder,class,,Assets/Editor/Chapter2PanicAnimationLibraryBuilder.cs,Editor,382,,RebuildPanicAnimationLibrary,0,0,0,0,0,0,0,0,1,Assets/Editor/Chapter2RegressionTests.cs:1,c302d7e8873b47d6ae661614c7b545d4,0,
Chapter2RegressionTests,class,,Assets/Editor/Chapter2RegressionTests.cs,Test,1726,LateUpdate,Chapter2ScriptSpecExists | ChapterTitlesUseChapterLabels | Chapter1ArrivalControllerDoesNotOwnChapter2 | Chapter2ControllerExistsAndDeclaresExpectedHandoff | Chapter2OpeningSpeechStopsAtMonsterStinger | Chapter2MonsterStingerControllerExists | Chapter2ControllerRunsMonsterStingerBeforeGuestSearch | Chapter2RunsGuestPanicThroughDoorExitBeforeGuestSearch | Chapter2GuestPanicUsesApprovedResourcesOnly | Chapter2PanicScreamCatalogCoversEveryGuest | GuestFootstepCatalogCoversEveryGuestAndUsesHighPassFiltering | DoorbellSystemUsesImportedVictorianDoorbellClip | GuestFootstepsFollowChapterMovementRoutines | SubtitleLineBankDefinesChapter1AndChapter2DialogueOnlyLines | ChapterSubtitlesDecorateExistingFlowWithoutOwningGameplay | ButlerVoiceLinesAreCatalogedAndProtectedFromRoutineCutoff | NewGameAndGameplayStartResetStickyPauseState | FlameParticleVelocityAxesUseConsistentCurveModes | Chapter2GuestPanicRunsBackAndForthImmediately | Chapter2GuestPanicExitsHalfTheGuestsThroughEachDrawingRoomDoor | Chapter2PanicApprovedFrameLibraryIsComplete | Chapter2GuestPanicBeginStopRestoresActorState | Chapter2GuestSearchControllerExistsAndUsesRoomState | Chapter2GuestFindActionMarksGuestsFound | Chapter2GuestClickPriorityStartsConversationOnFirstClick | Chapter2GuestSearchCreatesDedicatedRuntimeClickTargets | Chapter2GuestSearchRecordsFoundOrderAndPreferences | Chapter2GuestConversationsResumeAfterInterruptedLineWithoutRepeatingAudio | Chapter2HidesGuestsAtSevenThenSeatsGuestsOnDiningRoomReveal | Chapter2GuestPreferenceExitWalksToDoorBeforeDiningTransfer | Chapter2AllGuestsFoundCannotRunBeforePendingGuestExitCompletes | Chapter3DebugSkipStagesFoundGuestsInDiningRoom | Chapter2SevenPmDebugSkipRunsClockStrikeObjectiveBeforeDiningReveal | Chapter2HideAnchorsAreAuthoredAcrossHouse | Chapter2InteractionHudExists | Chapter2SevenOClockClockFaceIsTransparentCutout | ChapterManagerHandsOffToChapter2Controller | Chapter1CannotRetriggerChapter2AfterHandoff | Chapter2DoesNotUseHeavySystems | Chapter2AnchorNamingConventionIsDocumented,1,3,3,9,0,0,0,0,0,,ba5be95a2059cb06cbb42a25a7919640,0,
CharacterAnimationAssetBuilder,class,,Assets/Editor/CharacterAnimationAssetBuilder.cs,Editor,264,,RebuildAllCharacterAnimationAssets,0,0,0,0,0,0,0,0,1,Assets/Editor/CharacterRegressionTests.cs:1,b19e6c59a1ba48d7abb2f59cb2d26192,0,
CharacterRegressionTests,class,,Assets/Editor/CharacterRegressionTests.cs,Test,1289,,RoomPeopleAreEditableDepthScaledSceneObjects | FirstChapterGuestUsesLadyDirectionalAnimation | SecondChapterGuestUsesButlerSheetDirectionalAnimation | ThirdChapterGuestUsesMisterFlorianDirectionalAnimation | FourthChapterGuestUsesCountessDirectionalAnimation | CustomMaleSideStandingFramesMatchWalkScale | NamedGuestAnimationAssetsUseExpectedIdleAndDirectionalWalks | LaterGuestEntranceStandingIdlesUseComparableWorldHeight | LaterChapterGuestsUseAuthoredNamedAnimations | ButlerClassicHasFourDirectionalIdleStates | GentlemanBlackUsesDirectionalAnimationRows | ButlerWalkUpUsesFullBackStride,0,0,0,0,0,0,1,0,0,,7f19fae08fb5483692f9019beb0ffef8,0,
CursorIconImportPostprocessor,class,AssetPostprocessor,Assets/Editor/CursorIconImportPostprocessor.cs,Editor,29,,,0,0,0,0,0,0,0,0,1,Assets/Editor/NavigationRegressionTests.cs:1,4a2cc4800cb0aa3f0a21782f572581a7,0,
EditorFrameRateCap,class,,Assets/Editor/EditorFrameRateCap.cs,Editor,60,,,0,0,0,0,0,0,0,0,1,Assets/Editor/EditorFrameRateCap.cs:1,1cb130c9dd4a4b6c8c0fa01a899b9c21,0,
FireplaceFlamePlacement,class,,Assets/Editor/FireplaceFlamePlacement.cs,Editor,239,,PlaceFlamesInOpenFireplaces,0,0,0,0,0,0,0,0,1,Assets/Editor/Chapter2RegressionTests.cs:1,9e7c6761619b4dcf93a50e0ebd95072c,0,
FlameBloomSeparationTools,class,,Assets/Editor/FlameBloomSeparationTools.cs,Editor,276,,SetupSelectedFlame | CanSetupSelectedFlame,0,0,2,1,0,0,0,0,1,Assets/Editor/RoomLightingRegressionTests.cs:1,bd11115c95594c24bff41f639b61db89,0,
FlameParticleMaterialRepair,class,,Assets/Editor/FlameParticleMaterialRepair.cs,Editor,283,,RepairOpenFlameParticles | RepairSelectedParticleMaterials,0,0,0,0,0,0,0,0,1,Assets/Editor/Chapter2RegressionTests.cs:1,1aa84b6e0b2146c6ad9c5360d1738a55,0,
FootstepCatalogTools,class,,Assets/Editor/FootstepCatalogTools.cs,Editor,377,,RebuildFootstepCatalogs | ValidateFootstepOneShots,0,0,0,0,0,0,0,0,0,,45a8a43398ad49079ad7f0d0c063d111,0,
GameplayPlayModeGuard,class,,Assets/Editor/GameplayPlayModeGuard.cs,Editor,77,,,0,0,0,0,0,0,0,0,2,Assets/Editor/GameplayPlayModeGuard.cs:1 | Assets/Editor/NavigationRegressionTests.cs:1,3fa93d5d39b1423d9ce4775324c39a46,0,
Guest2ButlerAnimationAssetBuilder,class,,Assets/Editor/Guest2ButlerAnimationAssetBuilder.cs,Editor,275,,RebuildGuest2ButlerAnimation,0,0,0,1,0,0,0,0,0,,11d1669a85674c94b930b301d60a660c,0,
GuestRoomScaleRegressionTests,class,,Assets/Editor/GuestButlerScaleRegressionTests.cs,Test,1342,,PointClickPlayerMovementExposesSharedButlerScaleEvaluator | GuestRoomScaleCalibrationInitializesFromButler | GuestRoomScaleCalibrationEvaluatesButlerCurveWithRoomMultiplier | GuestRoomScaleCalibrationDoesNotExposeLegacyScaleMutatorMethods | SavingRoomGuestSizeStoresReferenceRoomStageScale | GuestRoomScaleApplierAppliesRoomZoomToGuestsOutsideStage | GuestRoomScaleApplierDoesNotDoubleZoomGuestsInsideStage | GuestEffectiveScaleMatchesRoomZoom | GuestRoomStageScaleUtilityCalculatesRoomZoomFromReferenceScale | GuestScaleParticipantCapturesGuestBaseScale | GuestRoomScaleApplierAppliesScaleToGuestPrefabInstances | GuestRoomScaleApplierUsesWalkerTargetGraphic | GuestRoomScaleApplierDoesNotCreateParticipantsForLegacyWalkers | GuestRoomScaleApplierClassifiesManagedChapterGuestsOnly | GuestRoomScaleApplierIgnoresExistingLegacyWalkerParticipants | GuestRoomScaleApplierUsesProjectedVisualRootForFloorCharacters | GuestRoomScaleApplierIgnoresCoatVisuals | TakingAndReturningCoatDoesNotChangeGuestBodyScale | EntranceGuestsUseGrandEntranceHallRoomMultiplier | GuestRoomScaleApplierRefreshRoomNowTargetsSelectedRoomOnly | SeatedGuestsDoNotAutoShrinkWithoutExplicitOverride | GuestScaleParticipantAppliesTargetButlerScaleFromCapturedBaseAspect | GuestRoomScaleApplierDoesNotCreateParticipantsForGuestScaleInfrastructure | AuthoredChapterGuestsInferRoomBeforeRuntimeStateExists | GuestScaleParticipantUsesResolvedRoomContentForTopLevelWorldGuestY | GuestScaleParticipantPrefersLiveActorRoomOverStaleOverride | GuestRoomScaleApplierInfersLiveActorRoomBeforeStaleParticipantOverride | GuestScaleParticipantLiveCurrentRoomBeatsStaleOverride | GuestScaleParticipantProjectedRoomBeatsStaleCurrentRoom | ActorRoomStateSetCurrentRoomUpdatesGuestScaleParticipant | GuestRoomScaleApplierEnsureParticipantCanSetCurrentRoom | GuestRoomScaleMasterIncludesLiveDrawingRoomGuestsDespiteStaleOverrides | GuestRoomScaleMasterTreatsVisibleGuestsAsSelectedRoomInEditMode | GuestRoomScaleApplierAppliesExplicitRoomContextDespiteStaleCurrentRoom | GuestRoomScaleMasterCanAdoptVisibleGuestsIntoSelectedRoomForManualEditing | GuestRoomScaleMasterUsesButlerRoomSelectionSources | EntranceGuestsRemainEntranceBeforeMove | ActiveNavigationDoesNotMisclassifyInactiveGuests | ResolveRoomTraceReportsChosenSource | GuestScaleOwnershipGuardsAllScaleWriters | GuestSizeMasterHasSimplePrimaryWorkflow | GuestSizeMasterDoesNotExposeLegacyFrontBackGuestCurveWorkflow | GuestSizeMasterHasExplicitManualGuestSelectionAndAllGuestWorkflow | GuestSizeMasterPreviewUsesSelectedRoomRefreshWithVisibleFeedback | GuestSizeMasterSavesManualRoomSizeAsRoomMultiplier | GuestSizeMasterDoesNotSaveLegacyFrontBackCurveScales | GuestRoomScaleMasterShowsStageScaleStatus | GuestScaleApplierReadsRoomStageZoomThroughUtility | GuestSizeMasterDoesNotExposeDirectScaleProofButtons | OldGuestScaleCompatibilityShellsAreRemoved | OldApplyButlerCharacterScalePathsAreNotCalledByNewApplier | GuestScaleApplierDoesNotReadPoseScaleOverrides | Chapter2PanicVisualsDoNotScaleManagedGuestBodies | NewGuestScaleFilesExist,0,0,47,55,0,0,0,0,0,,ebeefea9ded540118d7c9ccd53c29077,0,
