source_file,source_timestamp_seconds,raw_output_file,final_output_file,detected_impact_time_seconds,duration_seconds,peak_dbfs,tail_rms,second_transient_ratio,decision,reason
Assets/Audio/Fireplace/08_iron_wood_stove_fire_seed618808_48khz_loop.wav,0.0493,Assets/Audio/SFX/Footsteps/Wood/ExtractedRaw/Rejected/0001_08_iron_wood_stove_fire_seed618808_48khz_loop_000049ms.wav,,0.0160,0.2200,-12.00,0.087784,0.828,reject,"second strong transient, tail not quiet, continuous ambience/noise"
Assets/Audio/Fireplace/08_iron_wood_stove_fire_seed618808_48khz_loop.wav,0.2193,Assets/Audio/SFX/Footsteps/Wood/ExtractedRaw/Rejected/0002_08_iron_wood_stove_fire_seed618808_48khz_loop_000219ms.wav,,0.0160,0.2200,-12.00,0.051821,0.598,reject,"tail not quiet, continuous ambience/noise"
Assets/Audio/Fireplace/08_iron_wood_stove_fire_seed618808_48khz_loop.wav,0.5134,Assets/Audio/SFX/Footsteps/Wood/ExtractedRaw/Rejected/0003_08_iron_wood_stove_fire_seed618808_48khz_loop_000513ms.wav,,0.0160,0.2200,-12.00,0.049129,0.805,reject,"second strong transient, tail not quiet, continuous ambience/noise"
Assets/Audio/Fireplace/08_iron_wood_stove_fire_seed618808_48khz_loop.wav,0.6546,Assets/Audio/SFX/Footsteps/Wood/ExtractedRaw/Rejected/0004_08_iron_wood_stove_fire_seed618808_48khz_loop_000655ms.wav,,0.0160,0.2200,-12.00,0.058939,1.352,reject,"second strong transient, tail not quiet, continuous ambience/noise"
Assets/Audio/Fireplace/08_iron_wood_stove_fire_seed618808_48khz_loop.wav,0.8135,Assets/Audio/SFX/Footsteps/Wood/ExtractedRaw/Rejected/0005_08_iron_wood_stove_fire_seed618808_48khz_loop_000813ms.wav,,0.0160,0.2200,-12.00,0.093531,0.978,reject,"second strong transient, tail not quiet, continuous ambience/noise"
Assets/Audio/Fireplace/08_iron_wood_stove_fire_seed618808_48khz_loop.wav,1.0101,Assets/Audio/SFX/Footsteps/Wood/ExtractedRaw/Rejected/0006_08_iron_wood_stove_fire_seed618808_48khz_loop_001010ms.wav,,0.0160,0.2200,-12.00,0.061203,0.743,reject,"second strong transient, tail not quiet, continuous ambience/noise"
Assets/Audio/Fireplace/08_iron_wood_stove_fire_seed618808_48khz_loop.wav,1.2561,Assets/Audio/SFX/Footsteps/Wood/ExtractedRaw/Rejected/0007_08_iron_wood_stove_fire_seed618808_48khz_loop_001256ms.wav,,0.0160,0.2200,-12.00,0.034861,0.481,reject,continuous ambience/noise
Assets/Audio/Fireplace/08_iron_wood_stove_fire_seed618808_48khz_loop.wav,1.4754,Assets/Audio/SFX/Footsteps/Wood/ExtractedRaw/Rejected/0008_08_iron_wood_stove_fire_seed618808_48khz_loop_001475ms.wav,,0.0160,0.2200,-12.00,0.041686,1.338,reject,"second strong transient, continuous ambience/noise"
Assets/Audio/Fireplace/08_iron_wood_stove_fire_seed618808_48khz_loop.wav,1.8791,Assets/Audio/SFX/Footsteps/Wood/ExtractedRaw/Rejected/0009_08_iron_wood_stove_fire_seed618808_48khz_loop_001879ms.wav,,0.0160,0.2200,-12.00,0.076650,1.163,reject,"second strong transient, tail not quiet, continuous ambience/noise"
Assets/Audio/Fireplace/08_iron_wood_stove_fire_seed618808_48khz_loop.wav,2.0934,Assets/Audio/SFX/Footsteps/Wood/ExtractedRaw/Rejected/0010_08_iron_wood_stove_fire_seed618808_48khz_loop_002093ms.wav,,0.0160,0.2200,-12.00,0.094282,0.937,reject,"second strong transient, tail not quiet, continuous ambience/noise"
